URL,Brand,Model,Fuel,Gear box,Engine,Category,Average consumption,CO2 emissions,Fiscal power,Power,Number of doors,Price,XX,YY,Index
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/803ef705c164ee3ba1c26b07218ab890413a1ea0/volvo-xc60-busin.exec/,VOLVO,XC60,Eurosuper (Sans plomb),manuel,1969.0,SUV,7.3,169.0,15.0,250.0,5,656.0,6.346129894256592,-14.315873146057129,21
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/2128cec32687611ed23c89a589b3aa78a5808a16/volvo-xc60-momentum/,VOLVO,XC60,Diesel,manuel,1969.0,SUV,4.9,129.0,10.0,190.0,5,622.0,-1.9898797273635864,-15.136575698852539,22
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/3f39d8323a5b4314ef36d5f5ce485132bb1a8823/volvo-xc60-momentum/,VOLVO,XC60,Diesel,manuel,1969.0,SUV,5.5,144.0,11.0,190.0,5,638.0,-0.10317451506853104,-17.578773498535156,23
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/ef8247cafca06690a83734f1b04147ea6ef9bce0/volvo-xc60-r-design/,VOLVO,XC60,Diesel,manuel,1969.0,SUV,5.0,131.0,8.0,150.0,5,615.0,-10.415637016296387,-17.187252044677734,24
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/c9aebd3e3f228c34d8d0dddf3d36fdd08d7aacbf/volvo-xc60-inscripti/,VOLVO,XC60,Diesel,manuel,1969.0,SUV,5.0,131.0,8.0,150.0,5,654.0,-0.5197917222976685,-23.931005477905273,25
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/caa3ce38888eb17c8b0a5ecd91cde11ca11bef86/volvo-xc60-r-design/,VOLVO,XC60,Diesel,manuel,1969.0,SUV,4.9,129.0,10.0,190.0,5,662.0,2.816287040710449,-20.037200927734375,26
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/510177de21dc7d34d78c9819577f0757cecdc7fb/volvo-s60-summum/,VOLVO,S60,Diesel,manuel,1969.0,Tri-corps,3.9,102.0,6.0,120.0,4,477.0,-10.888694763183594,13.462634086608887,27
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/86eac3eeead4e50005205a8f4c44c55462172303/volvo-s60-business/,VOLVO,S60,Diesel,manuel,1969.0,Tri-corps,3.9,102.0,7.0,150.0,4,470.0,-8.21303939819336,9.409929275512695,28
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/181014e75a1efc2e49547ff3128c5a1c82d2ec41/volvo-s60-r-design/,VOLVO,S60,Diesel,manuel,1969.0,Tri-corps,3.9,102.0,6.0,120.0,4,471.0,-10.542561531066895,13.698294639587402,29
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/162a27ab3787fb189005d3eee583589366d8daa0/volvo-s60-kine.busine/,VOLVO,S60,Diesel,manuel,1969.0,Tri-corps,3.9,99.0,6.0,120.0,4,412.0,-3.236234426498413,21.294328689575195,30
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/3cff0e17bd5651af554732d59c975119edeb7ffb/volvo-s60-kinetic/,VOLVO,S60,Diesel,manuel,1969.0,Tri-corps,4.0,105.0,7.0,150.0,4,420.0,1.305153489112854,17.420024871826172,31
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/7025f19e50b38ef79809bc88dfe410d86a025a0d/volvo-s60-kinetic/,VOLVO,S60,Diesel,manuel,1969.0,Tri-corps,3.9,102.0,7.0,150.0,4,420.0,1.3093901872634888,17.418825149536133,32
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/bb3f905ef07e15af7853b385f5a88da62348bd57/volvo-v40-cc/,VOLVO,V40,Diesel,manuel,1969.0,Berline,4.6,122.0,6.0,120.0,5,400.0,-2.8675971031188965,22.554336547851562,33
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/6bd3ccab85998cf3b26f24d5f14e1d38ba9b3eeb/volvo-v40-business/,VOLVO,V40,Eurosuper (Sans plomb),manuel,1969.0,Berline,5.9,137.0,6.0,122.0,5,337.0,-2.8319478034973145,31.501127243041992,34
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/540178df0b4f0873dbde1cb6686262984c12bf3a/volvo-v90-business-ex/,VOLVO,V90,Diesel,manuel,1969.0,Break,5.6,146.0,14.0,235.0,5,903.0,20.84017562866211,-18.72370719909668,35
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/5878c8a9e2a4b96eace06819f63624c7c4fe5c93/volvo-v90-cc/,VOLVO,V90,Diesel,manuel,1969.0,Break,5.3,139.0,11.0,190.0,5,865.0,20.10976219177246,-19.999589920043945,36
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/9ae6ad79c0356aaa13ccd7a49ff9f001edd42a04/volvo-v90-inscription/,VOLVO,V90,Diesel,manuel,1969.0,Break,4.8,126.0,8.0,150.0,5,864.0,20.300556182861328,-20.840553283691406,37
https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/733243e127c01043d65f0d7f2ffaa4940c6eaab8/volvo-v90-momentum/,VOLVO,V90,Eurosuper (Sans plomb),manuel,1969.0,Break,6.8,157.0,15.0,250.0,5,854.0,19.717344284057617,-17.767047882080078,38
