Page title,URL,Brand,Car brand,Gear box,Engine,Category,Average consumption,CO2 emissions,Fiscal power,Number of doors,Price,Imglabel,XX,YY,samples_index
LLD Pro - RENAULT TWINGO ZEN - SCE70 (28113) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/be61adbf653051456188c8783b0cfbb0e97b6974/renault-twingo-zen/,RENAULT TWINGO ZEN,Eurosuper (Sans plomb),manuel,999.0,Micro 5 portes,5.5 l/100km,125 g/km,4.0,5,208,807,-43.83301544189453,22.35662269592285,807
LLD Pro - MERCEDES C 4P AVANTGARDE - 200 BA9 (12076) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/3bbf8065094ef7ec1debb55475f82f12a1fdd8e7/mercedes-c-4p-avantgarde/,MERCEDES C 4P AVANTGARDE,Eurosuper (Sans plomb),manuel,1497.0,Tri-corps 4 portes,6 l/100km,136 g/km,10.0,4,583,1675,3.2366504669189453,-34.06325912475586,1675
LLD Pro - KIA STONIC PREMIUM - 1.6CRDI 115 BM6 (02318) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/cb60f10c91ed3e5842c0ef18a3fe4e4236a9b671/kia-stonic-premium/,KIA STONIC PREMIUM,Diesel,manuel,1598.0,SUV 4x2,3.9 l/100km,103 g/km,6.0,5,272,1931,-24.936853408813477,-35.435794830322266,1931
LLD Pro - BMW 118I 3P F21 - URBAN CHIC BVA8 (10166) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/cad2480b61841cd20843d0e138d6961e0786f0f4/bmw-118i-3p-f21/,BMW 118I 3P F21,Eurosuper (Sans plomb),manuel,1499.0,Berline 3 portes,5.8 l/100km,130 g/km,7.0,3,436,3716,14.968935012817383,-34.645965576171875,3716
LLD Pro - FORD C-MAX TREND - 1.5TDCI95 (13754) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/b3049f37d9d96f6512d6b25b8a78a98ee019f2a5/ford-c-max-trend/,FORD C-MAX TREND,Diesel,manuel,1499.0,Mini monospace 5 portes,4.7 l/100km,125 g/km,5.0,5,322,2737,26.825565338134766,-33.594486236572266,2737
LLD Pro - VOLKSWAGEN CADDY MAXI CONF - 1.4TSI125 BVM6 (13207) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/268eee7fd04c5958b6fa630d60623bd0df0d1cf9/volkswagen-caddy-maxi-conf/,VOLKSWAGEN CADDY MAXI CONF,Eurosuper (Sans plomb),manuel,1395.0,Mini monospace 5 portes,6 l/100km,135 g/km,7.0,5,344,295,22.874759674072266,-16.55213737487793,295
LLD Pro - SEAT ARONA XCELLENCE - 1.0TSI 115 DSG7 (03550) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/fc1ee909edc6b41882dcd9a46e8a79c1758c9d98/seat-arona-xcellence/,SEAT ARONA XCELLENCE,Eurosuper (Sans plomb),manuel,999.0,SUV 4x2,5 l/100km,106 g/km,6.0,5,272,833,-35.96849060058594,28.237613677978516,833
LLD Pro - CITROEN C3 AIRCROSS SUN - PURETECH 110 (16532) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/107d59f5ba7e7de0d56af9c9278d1951f9e7422c/citroen-c3-aircross-sun/,CITROEN C3 AIRCROSS SUN,Eurosuper (Sans plomb),manuel,1199.0,SUV 4x2,4.7 l/100km,106 g/km,5.0,5,251,2993,-40.41411590576172,-6.561101913452148,2993
LLD Pro - MERCEDES A PROGRESSIVE L - 160 BVM6 (12613) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/45fa00f0c3173c961cad504ba32bdeddcc733297/mercedes-a-progressive-l/,MERCEDES A PROGRESSIVE L,Eurosuper (Sans plomb),manuel,1332.0,Berline 5 portes,5.5 l/100km,125 g/km,6.0,5,382,1644,20.411970138549805,-14.989609718322754,1644
LLD Pro - BMW 218D ACTIVETOUR - F45 BUSI.DE.BVA (13883) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/5d2c1beb1a92601e6db492a3c43288d71b1785b0/bmw-218d-activetour/,BMW 218D ACTIVETOUR,Diesel,manuel,1995.0,Mini monospace 5 portes,4.5 l/100km,119 g/km,8.0,5,502,3776,-0.8107957243919373,8.69721794128418,3776
LLD Pro - JEEP RENEGADE BROOKL - 1.6E110 4X2 BV5 (00491) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/c7656318b95226675f6adf30374f110190268c0a/jeep-renegade-brookl/,JEEP RENEGADE BROOKL,Eurosuper (Sans plomb),manuel,1598.0,SUV 4x2,6 l/100km,141 g/km,6.0,5,415,2166,-11.401573181152344,-35.90088653564453,2166
LLD Pro - BMW X3 SDRIVE 1.8D - PREMIERE BVM6 (13409) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/26297bc0d68e450464619f4285b94ccbbbf8bad9/bmw-x3-sdrive-1.8d/,BMW X3 SDRIVE 1.8D,Diesel,manuel,1995.0,SUV 4x2,5.1 l/100km,134 g/km,8.0,5,617,3076,4.494690895080566,23.0570011138916,3076
LLD Pro - MERCEDES GLA INSPIRATION - 180 BM6 (10828) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/4385b47b353691f7cfc1c50f2d4bfb69f8e3e157/mercedes-gla-inspiration/,MERCEDES GLA INSPIRATION,Eurosuper (Sans plomb),manuel,1595.0,SUV 4x2,6.5 l/100km,148 g/km,7.0,5,385,1782,-15.072421073913574,-36.858943939208984,1782
LLD Pro - BMW 218I ACTIVETOUR - F45 LUXURY BVA7 (13560) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/9e6af66174a87666b02045b8ddcdff1c8bca341e/bmw-218i-activetour/,BMW 218I ACTIVETOUR,Eurosuper (Sans plomb),manuel,1499.0,Mini monospace 5 portes,5.8 l/100km,132 g/km,7.0,5,507,3618,7.131343364715576,-34.599788665771484,3618
LLD Pro - FORD TRANSIT KO T33L - 2H3 AMB.ECO 105 (13423) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/e8b0d71256a15215c449dcd1fef69b003881849e/ford-transit-ko-t33l/,FORD TRANSIT KO T33L,Diesel,manuel,1995.0,Combi,6.6 l/100km,182 g/km,7.0,4,443,2552,2.4687581062316895,1.7920423746109009,2552
LLD Pro - HONDA CIVIC 4P ELEGAN - 1.5 IVTEC (01067) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/fa9ca249c7e50a7ee94b569e9e08efbba05dcdf4/honda-civic-4p-elegan/,HONDA CIVIC 4P ELEGAN,Eurosuper (Sans plomb),manuel,1498.0,Tri-corps 4 portes,5.7 l/100km,125 g/km,10.0,4,371,2585,21.96390724182129,-34.52988052368164,2585
LLD Pro - SMART FORTWO 3P PRIME - 1.0 52KW/71CH (00369) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/807e231defa80d9cc85c2bed4d9ee1ec57e10fbb/smart-fortwo-3p-prime/,SMART FORTWO 3P PRIME,Eurosuper (Sans plomb),manuel,999.0,Micro 3 portes,5 l/100km,114 g/km,4.0,3,282,745,-35.310062408447266,29.752328872680664,745
LLD Pro - MINI CLUBMAN CHILI - 102 BVM6 (02422) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/2ef53d9f306c418e266812a0a5d4dee6d065754b/mini-clubman-chili/,MINI CLUBMAN CHILI,Eurosuper (Sans plomb),manuel,1499.0,Break 5 portes,5.8 l/100km,131 g/km,6.0,5,427,1536,15.869007110595703,-34.782989501953125,1536
LLD Pro - RENAULT GRAND KANGOO - ZEN EGY DCI110 (26623) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/3606a78558f84d2a9d0a7ad5613f5aa8e3e01ad1/renault-grand-kangoo/,RENAULT GRAND KANGOO,Diesel,manuel,1461.0,Monospace 5 portes,4.5 l/100km,119 g/km,6.0,5,307,1057,28.817134857177734,-28.813478469848633,1057
LLD Pro - FORD MONDEO 5P TITAN - TDCI150 POWERSH (14250) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/f6fd9b7dd93c92c22aac808b5a7382fec878e201/ford-mondeo-5p-titan/,FORD MONDEO 5P TITAN,Diesel,manuel,1997.0,Berline 5 portes,5.4 l/100km,129 g/km,8.0,5,389,2491,-0.8307217955589294,-2.435816526412964,2491
